run,ticks,mode,arrival_rate,ns_demand_share,nb_vehicules,nb_arretes,queue_ns,queue_ew,file_moyenne,vitesse_moyenne,attente_moyenne,vehicules_sortis,debit_100_ticks,congestion_pct,niveau_congestion,phase_j1,phase_j2,phase_j3,phase_j4
180295,195,INTELLIGENT,40,50,62,7,6,1,1.75,0.2217741935483871,22.193548387096776,0,0,11.290322580645162,FAIBLE,0,1,1,0
180295,200,INTELLIGENT,40,50,62,7,6,1,1.75,0.2217741935483871,22.758064516129032,1,1,11.290322580645162,FAIBLE,0,1,1,0
180295,205,INTELLIGENT,40,50,61,8,7,1,2,0.21721311475409832,23.737704918032787,4,4,13.114754098360656,FAIBLE,0,1,1,0
180295,210,INTELLIGENT,40,50,62,9,7,2,2.25,0.21370967741935482,24.032258064516128,5,5,14.516129032258064,FAIBLE,2,1,1,0
180295,215,INTELLIGENT,40,50,63,12,7,5,3,0.20238095238095233,24.46031746031746,5,5,19.047619047619047,FAIBLE,2,1,1,2
180295,220,INTELLIGENT,40,50,66,14,7,7,3.25,0.19696969696969696,24.393939393939394,5,5,21.21212121212121,FAIBLE,2,2,1,2
180295,225,INTELLIGENT,40,50,66,16,7,9,3.75,0.18939393939393936,25.5,6,6,24.242424242424242,FAIBLE,2,2,1,2
180295,230,INTELLIGENT,40,50,66,13,3,10,3,0.20075757575757572,26.560606060606062,6,6,19.696969696969695,FAIBLE,1,2,1,2
180295,235,INTELLIGENT,40,50,68,12,0,12,2.75,0.20441176470588232,26.279411764705884,7,7,17.647058823529413,FAIBLE,1,2,1,1
180295,240,INTELLIGENT,40,50,68,8,1,7,2,0.22058823529411759,26.455882352941178,8,8,11.764705882352942,FAIBLE,1,0,1,1
180295,245,INTELLIGENT,40,50,69,8,1,7,2,0.22101449275362314,26.420289855072465,9,9,11.594202898550725,FAIBLE,1,0,2,1
180295,250,INTELLIGENT,40,50,74,9,2,7,2.25,0.2195945945945946,25.18918918918919,9,9,12.162162162162161,FAIBLE,1,0,2,1
180295,255,INTELLIGENT,40,50,76,10,2,8,2.5,0.2171052631578947,23.789473684210527,11,11,13.157894736842104,FAIBLE,1,0,2,1
180295,260,INTELLIGENT,40,50,75,10,2,8,2.5,0.21666666666666662,23.493333333333332,14,14,13.333333333333334,FAIBLE,1,0,2,1
180295,265,INTELLIGENT,40,50,74,8,2,6,2,0.22027027027027024,23.864864864864863,16,16,10.81081081081081,FAIBLE,1,0,0,1
180295,270,INTELLIGENT,40,50,72,8,3,5,2,0.2222222222222222,23.22222222222222,19,19,11.11111111111111,FAIBLE,1,0,0,1
180295,275,INTELLIGENT,40,50,72,8,3,5,2,0.2222222222222222,23.041666666666668,22,22,11.11111111111111,FAIBLE,1,2,0,1
180295,280,INTELLIGENT,40,50,72,9,3,6,2.25,0.21874999999999997,23.11111111111111,24,24,12.5,FAIBLE,1,2,0,1
180295,285,INTELLIGENT,40,50,72,9,3,6,2.25,0.21250000000000002,23.5,26,26,12.5,FAIBLE,1,2,0,2
180295,290,INTELLIGENT,40,50,72,14,6,8,3.25,0.20138888888888887,24.208333333333332,27,27,19.444444444444443,FAIBLE,1,2,0,2
180295,295,INTELLIGENT,40,50,73,16,7,9,3.5,0.19520547945205485,24.986301369863014,27,27,21.91780821917808,FAIBLE,1,1,2,2
180295,300,INTELLIGENT,40,50,75,23,8,15,5,0.17333333333333334,25.64,27,26,30.666666666666668,MOYENNE,1,1,2,2
180295,305,INTELLIGENT,40,50,76,24,9,15,5,0.16842105263157892,26.88157894736842,27,23,31.57894736842105,MOYENNE,1,1,2,0
180295,310,INTELLIGENT,40,50,78,23,10,13,4.75,0.1762820512820513,27.666666666666668,27,22,29.487179487179485,FAIBLE,1,1,2,0
180295,315,INTELLIGENT,40,50,78,14,3,11,3.5,0.20512820512820504,28.871794871794872,27,22,17.94871794871795,FAIBLE,2,1,1,0
180295,320,INTELLIGENT,40,50,75,16,3,13,3.5,0.1966666666666666,28.546666666666667,30,25,21.333333333333332,FAIBLE,2,1,1,0
180295,325,INTELLIGENT,40,50,72,14,2,12,3.5,0.20069444444444443,28.430555555555557,33,27,19.444444444444443,FAIBLE,2,1,1,0
180295,330,INTELLIGENT,40,50,70,17,3,14,4,0.1892857142857142,28.285714285714285,36,30,24.285714285714285,FAIBLE,2,1,1,0
180295,335,INTELLIGENT,40,50,71,13,3,10,3,0.20422535211267603,27.718309859154928,39,32,18.309859154929576,FAIBLE,0,1,1,0
